id,text
1265574530426310658,"RT @RichieHardcore: Great job from the Government: No new cases, nobody in hospital in NZ with Covid-19 https://t.co/znv0giBRTJ"
1265574531139284993,RT @mygovindia: Take a glance to know how India’s Recovery Rate of COVID-19 patients is steadily improving. #IndiaFightsCorona https://t.co…
1265574534658351104,RT @KJimale: #Adado needs support in its COVID-19 response.
1265574535211945985,"RT @SuPriyoBabul: The mortality rate due to COVID-19 in West Bengal is double of the national average. Alldue to terrible management of re…"
1265574536235438081,"I support Dr Biswaroop Roy Chowdhary who is spear heading a new revolutionary method called Food Medicine, right at… https://t.co/csJIyY9MEb"
1265574538085044225,"RT @WarmongerHodges: In failing to unequivocally call for Cummings to go, certain Labour MPs have shown more loyalty to the architect of Br…"
1265574538357735424,RT @AFP: #BREAKING France halts hydroxychloroquine use for COVID-19 cases: govt https://t.co/0LCZ9hbF1Y
1265574539582418945,lmao the things i wanna say...
1265574541369188352,"RT @thekjohnston: The new MAGA rhetoric is “masks don’t work”. I’m seeing this everywhere in my replies, and it’s false. 

If 80% of Americ…"
1265574540777791489,@TridentHealthPR Dr Michael Addison &amp; Pastor C Priester are leading a FREE COVID-19 drive thru testing Sat May 30 9… https://t.co/fANWHarL0y
1265574542052900869,RT @gina_scooter: Rather than framing this as the hairstylist individual actions exposing 140 people maybe point out the state re opening l…
1265574542912753664,"RT @Societi_UK_KD: ✅ Scientific Advisory Board statement issued:

ANSWERING Q’s
Kawasaki Disease, PIMS-TS, Covid-19 &amp; children

✅ Read it h…"
1265574542975647750,RT @BBCLBicker: South Korea has reported its highest daily number of coronavirus cases in 49 days just as more than 2 million pupils return…
1265574544435273729,"RT @Rajkuma26932456: In this sea of contradicting and confusing views, the challenge Covid-19 poses to the nation and what the Modi governm…"
1265574548294025216,"Parliament lied, 2 MPs have indeed tested positive for Covid-19 – Muntaka Mubarak (VIDEO) https://t.co/x0OQhCVJNt"
1265574549720104960,"@leftstance @Paul63B @britainelects @YouGov @Survation COVID-19 is nothing to do with the Tories?

It’s no bubble, it’s reality."
1265574550978408452,RT @FintechNewsHK: Fintech Funding Hitting Record Lows Amid COVID-19 Crisis https://t.co/RDNMij7fEX #fintech #covid19 #banking #payments #c…
1265574551108411393,"Factsheet on NATO's response to the COVID-19 Pandemic
 
ℹ️Read more:https://t.co/DnTen8OHuf"
1265574551573999619,Loving the shade
