id,text
1265613213292351489,RT @ohlusts: girls will say “it’s fine” then sleep all day to avoid their feelings
1265613213292519429,@GuidoFawkes truly desperate stuff
1265613213296721921,@BWSKIWI mine is kinda hard to do😂😂
1265613213300908033,RT @DeanFelton7: @itsJeffTiedrich The real dealbreaker https://t.co/4IRQNyHIGQ
1265613213288116225,RT @_sunshine501: the art                                  the artist 😆 https://t.co/BXwcTZuf2i
1265613213292519430,@mvelo_enhleSA @MbuyiseniNdlozi Oh did you mean VBS! No I’m not on that payroll. I don’t steal for the workers!
1265613213296517121,RT @SenatorTimScott: The reviews are in on our bipartisan Skills Renewal Act…it’s a win! https://t.co/Nlnm5hdwsA
1265613213288345600,@Dreamboy_jinnie @pyarajimin I see you
1265613213275570178,"RT @OH_mes2bp: We all know those who doesn't feel BLACKPINK's power are only the antis. The biggest artists know, the biggest music label i…"
1265613213275697155,"@AndreaHorwath Andrea has been in govt since the earth cooled, yet its the premiers fault. He has only been in provincial govt for 2 yrs. What have you been doing? Feeding at the trough."
1265613213288235008,@EmranKiyumi @DeludedPereira @GuruGunners @Naz_afc @glory243matondo @AFCMax9 You conceded a goal to el arabi who’s that exactly arsenal are the biggest banter club in the world celebrating tenth for months now celebrating ninth Bruno done more in 5 games than Ozil has in 3 years
1265613213284081664,RT @ZeitgeistFilm: Warranted.
1265613217469997056,I was definitely sleep on Kehlani’s album 🤦🏽‍♀️
1265613217470066688,"Now Playing: DeeDee Bridgewater - Ne Me Quitte Pas off of the album ""J'ai Deux Amours"" on Jazz90.1 @901jazz"
1265613217495240705,@FireyRoxy Not only are you stupid your a babbler.
1265613217470074880,"I want my tutors to understand something, you are not going to hear or see me lol"
1265613217474113537,@kwiatkowski_md Ideal depth recommended would be 8 cm for this case; A-lines here.
1265613217491025924,@efiaodo1 Shid is really crazy and heartbreaking 😒
1265613217486606337,RT @victaerian: ― taehyung going 🥺 a thread; https://t.co/VMTjV5bAQf
1265613217486667778,"RT @GMMTV: Q: do you want to see blackpink??? #BrightWinQnA
- @namdochyon

A: https://t.co/PTf2woJmCx"
1265613217486659584,"RT @ChocolateWraith: I’m Giving away $300 to 3 Fans today ! Because of all the Covid-19 Job Losses I know a few can really Use it 
Retweet…"
1265613217499316224,@Esra___Bilgic All 5 seasons complete &amp; 6 season at 23 episode waiting for 24
1265613217474043905,"RT @jr0dxx: Let me retweet this to piss a homophobic person today. 😊
 https://t.co/lAMf7rDPbv"
1265613217482461191,RT @minseokpics: we can make a religion out of this https://t.co/hNM6EVRnZy
1265613217478389762,"RT @billboardcharts: Seven song collaborations by solo women have hit No. 1 on the #Hot100 (1/2):

""Savage,"" @theestallion ft. @Beyonce
""Sa…"
1265613217499209731,babe no.... https://t.co/FN7MUuymEU
1265613217495220225,RT @BJP4India: Supporting state governments &amp; promoting state level reforms. #AatmaNirbharApnaBharat https://t.co/XsBtG6qV5N
1265613217503408129,sketches https://t.co/UJXF1Ixi2q
1265613221660028928,Good morning 🥰 I’m exhausted already but we are gonna make it through the day
1265613221676716032,RT @OCEANGlRL: experimenting w/ something new 🤍 https://t.co/YOcK4aKLod
1265613221672583170,"RT @heymeru: Made #carbonara for lunch! Definitely comfort #food! 

Who wants a plate?!

#foodie #foodporn #pasta #italian #cooking #recipe…"
1265613221672751105,"RT @GWANJEZ: ""I don't need a religion, I need a Spiritual Belief System as part of my life. I have that. I'm satisfied with that."" https://…"
1265613221693722625,"RT @jukvzi: Y’all ever wanted to talk to somebody, but ain’t wanna feel like you’re bothering them?"
1265613221672693760,RT @afloodofblood: i don't flirt. i haunt.
1265613221660102657,RT @JohnBoyega: This just burns. Seems to be a never ending cycle. The murderers need to be charged severely. Even in the face of death thi…
1265613221668536320,"RT @iamcardib: Not three ,not five but almost 15 minutes of a cop knees on a mans neck while handcuffed😒😒😒It’s so sickening.Things have to…"
1265613221697925121,RT @jiggyjayy2: Robin Thicke really lost his wife cause he wanted to have a ho phase at 40
1265613221681156097,RT @SeGaTHEPLUG: runnin w/ @Goku_SZN  https://t.co/yM9WBtZaJ6
1265613221681000449,"RT @intoblackpivk: Lady Gaga interview ⬇️
(full proper translation on Sour Candy)

🔗 https://t.co/Q6asXw7hyk

(thx annie)
#chromatica #Sour…"
1265613221693702145,"RT @Kailashmishra16: @SushilModi
@NitishKumar
@ShikshaBihar
@KashishBihar
@aajtak
@BJP4India
@BsebResult
@PIB_Patna 
WHY BOTH PAPER'S BIHAR…"
1265613221689528321,RT @DiMartinoBooth: ...but you sure can try. https://t.co/bIFK7nslsm
1265613221664370689,this was inspired by a girl meeting with con in 2016 🤠🤠🤠u have to laugh
1265613221693583362,RT @xclaudius: “I ALWAYS DO EVERYTHING IN THIS DAMN HOUSE” https://t.co/k6CukRgL92
1265613221668384769,RT @saweetprincess: men are absolutely terrifying
1265613221689298945,"Want to publish your article at the conference.
Email us the full-length article or submit in the below link:
https://t.co/aGqZ5h6Ohe
or
E: cardiovascular@longdomglobal.com 
#cardiology #COVID-19 #medicine https://t.co/LssCdUyqur"
1265613204882939904,@Vash_the_senior YO IT HIM
1265613225867042816,"I can't breathe, i think i need you"
1265613225883652096,"RT @teelerebane2: now in mongkok. a man right in front of me is attacked by a policeman for shouting, a scuffle breaks out and a lot of pep…"
1265613225854468096,RT @Fladdykin: Flow Doodles https://t.co/Rh54oXheNo
1265613225858600961,@halalonlyzone that's so gross wtf
1265613225862860800,"RT @AnuruddhTiwar17: #UPP_49568
Sir ,
I am requesting you to solve our problems and inform us regarding last step of advertising #UPP_49568…"
1265613225862856704,"RT @kayleighmcenany: “Sorry, media: You're not victims no matter how much 'abuse' you take” via @nypost https://t.co/H69MBjEtOx via @nypost"
1265613225858646016,"@DnesFi Willock
Nketiah
Willian"
1265613225862856707,@theeyecollector What if I am a paramedic who has spent a decade seeing the difference in outcomes between helmet and no-helmet cyclist struck calls? Am I allowed to advocate for helmets then?
1265613225883766785,"Was gonna tweet something like ""@ wes Anderson movies"" for bites but had a look at the run times of his movies and they're all around 1hr 40mins. Sad I can't think of a long boring movie."
1265613225879654401,"@chartdata @TXT_members deserved!!

vote for them on mubeat pls:  https://t.co/Y8I5mDJ2n9"
1265613225892200449,"RT @glennkirschner2: I am following you, my friend. Not sure when MSNBC will return to airing legal segments. There’s so much crime being p…"
1265613225858666505,"RT @Seuncaleb: #15daywritingchallenge 
#LockdownWritingChallenge 

Day 3: first kiss https://t.co/rXwtOLomjG"
1265613209089835008,@sexysunaina69 @CattyNiish @Sangeeta40D @Sexysangeeta40 @Sexyanita40 @Wild_catManju @AnitaSi67735735 @Bindassstina @Fucker_Man90 @MahiSinghaniy10 @PerkySneha @mohini_alhad @Veenashri8 @Real_legend007 @basak_pooja_ @anita_devee Ha follow Kia abhi just
1265613213296705536,CHENtube 2M in a few days. I CAN FEEL IT #DandelionsWithCHEN
1265613225883766784,RT @BBCLBicker: Morning temperature checks as 2.4 million pupils head back to the classroom in South Korea. The first temp check of the day…
1265613217474080768,RT @Kineslla: More reason to hate man lol you don't even wear a kurung https://t.co/2IWJmLlI9g
1265613221697933312,RT @AboutLibras: #Libras know they know something you don't.
1265613225862758400,@Gamers4LMedia @CortezW95 @The_CrapGamer Who’s this I can’t see the tweet bro
1265613230065348608,"RT @ignacio_aries: Education can wait, health of everyone can't."
1265613230065348609,@pancakeoneday Aminnnn
1265613230073884672,RT @jiggIies: if u wanna lose weight fast just check his likes
1265613230073761792,AHHHH WRONG ACCOUNT
1265613230048772096,"RT @AmIMissingSomet: CORONA ADVICE DAILY REMINDER 

✅ picnics in the park (Varadkar)
✅ visiting hairdressers (Sturgeon)
✅ attending funeral…"
1265613230061293568,@suzydymna @realDonaldTrump Crazy
