id,text
1265613669175566336,RT @WebMD: New research confirms that the surface cells of our eyes have the receptors necessary for the new coronavirus to infect a patien…
1265613669393629186,It is well o.
1265613670152916992,RT @koordell: the real problem is that 140 people went to great clips
1265613670668627968,RT @ShannonFreshour: I am the Democrat running against Republican Jim Jordan. Jim Jordan voted against the COVID-19 relief funding bill. He…
1265613670819790848,"RT @ssaig: And they just didn’t get lucky. Starting in January, Mongolia executed a perfect public health response, and they have never let…"
1265613671096561664,"RT @JohnMHardie: Guernsey just announced zero active cases of Covid-19 and 27 days of no new positive tests. In March, Guernsey had proport…"
1265613671138459648,Difficult weeks ahead for the South American COVID-19 hot spot | Instant News https://t.co/alFbdV04cY
1265613671323111425,About half of Americans adorably believe they will have a choice. https://t.co/HMFkVGL2MS
1265613671289454592,@InsightChanges We will be recording a special edition of Mind Matters after discussions around the impact of returning to school in the context of COVID-19 in terms of attachment&amp; relational approaches. It will be a Q&amp;A format so please participate using this link: https://t.co/lP7u9peUAb
1265613672564445184,New post (Lessons Taught by COVID-19 Epidemic) has been published on https://t.co/yhpLT8IXuK - https://t.co/IVfYEpgQ8o
1265613672748965888,"RT @OxfordLawFac: On 5 June we are hosting a webinar on the legal, policy and ethical challenges of #COVIDー19. 
Legal scholars will explore…"
1265613674053545984,RT @abc13houston: Houston area doctors report large drop in patients due to COVID-19 https://t.co/5j5vUK8UEw https://t.co/m3HeZcTdrX
1265613674271694849,"Some may want to believe the #DominicCummings debacle &amp; a driving eyesight test is perfectly normal! If you don’t think he should resign then, as the indispensable advisor, he should be sacked for the inept Covid-19 response, unless you think this excessive death rate is ok too."
1265613674497978368,"[Update]
27 May 2020, novel coronaviruses cases in Malta
612 Total cases
114Active cases
7 deaths

https://t.co/xGG917wPbt

For further information, you may call the COVID-19 helpline on 111.

#malta #coronavirus #Covid_19 #covid_19malta #COVID19 #COVID"
1265613674644987910,RT @ShannonFreshour: I am the Democrat running against Republican Jim Jordan. Jim Jordan voted against the COVID-19 relief funding bill. He…
1265613674737209345,"RT @theorphanmoon68: The media are leading this witch hunt not because of their concern over the Covid-19 virus, but because of something t…"
1265613676599443457,"RT @ragipsoylu: Turkey insists on using hydroxychloroquine despite WHO concerns

- Turkish official: We will continue to use it, we think i…"
1265613677555679232,RT @SyafiqraziFA: Senangnya cakap. Tahu tak macam mana nak kuasai pelbagai kemahiran tu? Through trainings and work experience. But in firs…
1265613678457630720,RT @biannagolodryga: @JeffreyGoldberg @TheAtlantic .@TheAtlantic consistently has some of the best Covid-19 coverage. Some of the best cove…
1265613678809767937,"RT @ABSCBNNews: LOOK: Angel's car, Anne's luxury bag up for auction to raise funds for COVID-19 test kits https://t.co/aWgYQtgVop"
1265613678990237697,France bans hydroxychloroquine to treat COVID-19 amid safety concerns https://t.co/NcY80r9oE7 https://t.co/HzkeeTxUct https://t.co/rzzT81u22e
1265613678331727872,"COVID-19 has forced the international community to embrace digital diplomacy, including for humanitarian disarmament. Digital platforms mean new possibilities and distinct challenges. See @erinlynnhunt introduce Digital Diplomacy: Dos and Don'ts here: https://t.co/azEKbOe5Rm https://t.co/f0gpcnZaC6"
1265613679493435392,"RT @MasidiM: Kaamatan beauty pageant cancelled by KDCA due to Covid-19  - Dr Jeffery 

 https://t.co/AG1yK9ZKzg"
1265613681120993280,@WPOC @LaurieDeYoung @UMGCMilitary My step-son who has been a straight A student will not get to graduate high school this year due to Covid-19 postponing it.He is a proud student of Archbishop Curley high school. He will be shipping to FT. Jackson very soon! He is ready to serve!
1265613682530279424,RT @gina_scooter: Rather than framing this as the hairstylist individual actions exposing 140 people maybe point out the state re opening l…
1265613682664488960,"RT @NBCNews: COVID-19 cases in Alabama, California and Virginia are surging. https://t.co/SIqB88vEpI https://t.co/dOW6eRDbuP"
1265613683029184512,RT @amieperez: Women and girls should not have to choose between protecting ourselves from COVID-19 or protecting ourselves from unplanned…
1265613683859865600,CDC quietly DOWNGRADED Covid-19 death rate and media IGNORED good news. Elon Musk wonders why — RT USA News https://t.co/w0hTqPAJIj
1265613684186976256,"RT @ABCWorldNews: BRAZIL TRAVEL BAN: Brazil is now the second deadliest nation in the COVID-19 pandemic behind only the U.S., with hospital…"
1265613684568723462,"RT @DrIanWeissman: COVID-19 cases among health care workers top 62,000, @CDCgov reports. The report is the CDC's first update on the matter…"
1265613685332082688,"RT @SalmanDuke: I just lost a close girlfriend to Covid-19 in Wuye, Abuja, she passed just now. 😢"
1265613685369769988,RT @ShannonFreshour: I am the Democrat running against Republican Jim Jordan. Jim Jordan voted against the COVID-19 relief funding bill. He…
1265613685780865026,"WHO gives latest update on COVID-19 cases, deaths, recoveries in Africa https://t.co/j2d4VBuwzx"
1265613686141583360,"RT @dZ_SynZ: COVID-19 has killed over 350,000 people world wide and you are alive and well , please use 2 seconds to thank god , stay bless…"
1265613687022219267,"RT @RONBupdates: New Case Alert: 114 new COVID-19 cases confirmed in Nepal. Now, total number of COVID-19 confirmed cases in Nepal reached…"
1265613687542484993,"#2BongeThursday #MyPeriodMyPride The govt. needs to expand the reach and benefit levels of social assistance programmes that target women, such as cash transfers and social pensions, and suspending all conditionalities for the 
duration of the COVID-19 crisis. @StraightTalkKe"
1265613688226017283,"RT @HarrySmithLond2: #DeepStateScum

#Qanon
#Qanons

France bans hydroxychloroquine as a treatment for Covid-19 patients  https://t.co/JxQG…"
1265613688653991938,"RT @CBCToronto: A Mississauga family says it's ""ridiculous"" their condo corporation is making them pay a $30-a-day ""occupancy fee,"" because…"
1265613690864312321,"A way to stop pals and family from spreading incorrect information about covid-19 https://t.co/mA71Uu5hAO

#covid19 #infodemic #pandemic #life #newyork"
1265613691019497472,"Chief Superintendent Paul Cleary, Garda National Roads Policing Unit  ""Notwithstanding the recent Covid-19 restrictions with reduced traffic on our roads and the closure of licenced premises, we have still seen 1,153 people detected for driving under the influence..."
1265613691753508876,"Last week on @GMA, #BHM Mayor @randallwoodfin said ""the pandemic is not over. We have to be vigilant."" That's still true. #JeffersonCounty recorded 15 new #COVID19 cases yesterday and 5 people died in our county."
1265613692579860482,"Mercedes team principal Toto Wolff explains how he copes with the COVID-19 crisis as a leader and as a family man.

#F1 #MercedesAMGF1
https://t.co/xaOKAfNKjg"
1265613692416253953,"The agony of a COVID-19 patient in Gujarat.Her last words were,""I am lying on my faeces and cant move. I cant clean myself,staff members are refusing to help""BUT @BJP4India is busy targeting the States who are fighting multiple crisis. #StopTargetingBengal https://t.co/v6f7J1F2kl"
1265613693506727936,RT @mhdelaney: The air has been clearer during the pandemic but we want to do an in-depth investigation into the issue of air pollution to…
1265613694005903360,RT @ShannonFreshour: I am the Democrat running against Republican Jim Jordan. Jim Jordan voted against the COVID-19 relief funding bill. He…
1265613694366613505,"@coolbutuseless Covid-19 cases from different places, or cars dataset"
1265613695557627904,"RT @MrFrankBaraan: Duterte should have done this a long time ago. He should have followed the footsteps of Vietnam, New Zealand, Taiwan, &amp;…"
1265613695964643328,RT @pdacosta: See you all in 2025. https://t.co/HMFkVGL2MS
1265613698552541190,"RT @UmarGanie1: #Covid_19 
A 55-year-old man from Fateh Kadal area of Srinagar who was tested positive for covid-19 few days ago, died due…"
1265613698422505472,Military transgressions on East Laddakh border from China seems to be a message to India to step back and not try to position itself as a potential supply lines hub in the post Covid-19 world... (1/1)
1265613699232006145,RT @PatriarchTree: U.S. COVID-19 per-capita death rates (by @AnadalePhilo) https://t.co/6twCf2kmOl
1265613699382796290,"@PrakashJavdekar @RahulGandhi @BJP4India @JPNadda @AmitShah @BJP4Maharashtra @DDNewsHindi Those who know exponential distribution, will not convince with the fact presented as Covid-19 infection follows exponential distribution not linear..."
1265613700016340993,"RT @StellMun: Latest COVID-19 stats for Stellenbosch Municipality. 

🔹 Total cases: 137
🔹 Total recoveries: 56
🔹 Active cases: 81 (Total ca…"
1265613699978493952,@GovernorVA Psst. We're not making progress. https://t.co/Tll3cgh8tK
1265613700280483845,RT @JohnCornyn: Mailing it in while the rest of America is safely reopening and going back to work
1265613700330860546,RT @wellbeingEU: 📢 The European recovery from the COVID-19 pandemic makes the Health in All Policies approach ever more urgent. Please read…
1265613700737708032,RT @elimin8schisto: Join the @WHO #beatNTDs team TODAY in this consultative meeting on #COVID__19 and #NTDs #schistosomiasis #bilharzia #bi…
1265613701610168320,"RT @Societi_UK_KD: ✅ Scientific Advisory Board statement issued:

ANSWERING QUESTIONS:
Kawasaki Disease, PIMS-TS, Covid-19 &amp; children

✅ Re…"
1265613702981713920,"When COVID-19 PPP is Not Enough.
WE CAN HELP!

Emergency Funding for Businesses affected by the coronavirus.

Learn More ⇢ https://t.co/AlwBbvURJm
•
#money #covid19 #facemask #botl #sotl #cigars #loans #cigar #coronavirus #thefinancialdoctormd #businessloans #smallbusiness https://t.co/Hz7WY2iz3b"
1265613704009310208,"Meaning...that it was illegal to do so, during lockdown!!!

Point very well made!!

Two advisers, @CathCalderwood1 and @neil_ferguson respected lockdown rules and resigned.

We await resignation of #DomCum !!

You may try to suppress COVID-19 BUT you CANNOT suppress the TRUTH!!"
1265613705393438721,I have just felt useless during this pandemic whilst people are out there risking their lives.
1265613705653469184,@rifatakhtar We will be recording a special edition of Mind Matters after discussions around the impact of returning to school in the context of COVID-19 in terms of attachment&amp; relational approaches. It will be a Q&amp;A format so please participate using this link: https://t.co/lP7u9peUAb
